code	species	origin	life_span	form	family	speciesID	location	legume
Asp_con	"Asperula conferta"	Native	Perennial	Herb	Rubiaceae	1	1	0
Cha_nom	"Chamaecrista nomame"	Native	Annual	Herb	Fabaceae	1	1	1
Cor_tes	"Corymbia tessellaris"	Native	Perennial	Tree	Myrtaceae	1	1	0
Cro_inc	"Crotalaria incana"	Exotic	Perennial	Herb	Fabaceae	1	1	1
Cya_cin	"Cyanthillium cinereum"	Exotic	Annual	Vine	Convolvulaceae	1	1	0
Des_bra	"Desmodium brachypoda"	Native	Perennial	Herb	Asteraceae	1	1	0
Des_gan	"Desmodium gangeticum"	Native	Perennial	Herb	Fabaceae	1	1	1
Des_var	"Desmodium varians"	Native	Perennial	Herb	Fabaceae	1	1	1
Dia_cer	"Dianella caerulea"	Native	Perennial	Herb	Asphodelaceae	1	1	0
Dic_ari	"Dichanthium aristatum"	Exotic	Perennial	Grass	Poaceae	1	1	0
Dic_cri	"Dichelachne crinita"	Native	Perennial	Grass	Poaceae	1	1	0
Dic_ser	"Dichanthium sericeum"	Native	Perennial	Grass	Poaceae	1	1	0
Dig_div	"Digitaria divaricatissima"	Native	Perennial	Grass	Poaceae	1	1	0
Dig_san	"Digitaria sanguinalis"	Exotic	Annual	Grass	Poaceae	1	1	0
Ech_ova	"Echinopogon ovatus"	Native	Perennial	Grass	Poaceae	1	1	0
Euc_mell	"Eucalyptus mellidora"	Native	Perennial	Tree	Myrtaceae	1	1	0
Euc_melp	"Eucalyptus melanophloia"	Native	Perennial	Tree	Myrtaceae	1	1	0
Euc_ter	"Eucalyptus tereticornis"	Native	Perennial	Tree	Myrtaceae	1	1	0
Eus_lat	"Eustrephus latifolius"	Native	Perennial	Vine	Asparagaceae	1	1	0
Gah_asp	"Gahnia aspera"	Native	Perennial	Sedge/Rush	Cyperaceae	1	1	0
Gly_tom	"Glycine tomentella"	Native	Perennial	Herb	Fabaceae	1	1	1
Gom_fru	"Gomphocarpus fruticosus"	Native	Perennial	Sedge/Rush	Cyperaceae	1	1	0
Hyb_ste	"Hybanthus stellarioides"	Native	Perennial	Tree	Proteaceae	1	1	0
Hyp_fil	"Hyparrhenia filipendula"	Native	Perennial	Grass	Poaceae	1	1	1
Ind_hir	"Indigofera hirsuta"	Native	Perennial	Grass	Poaceae	1	1	0
Ind_lini	"Indigofera linifolia"	Native	Perennial	Herb	Hypericaceae	1	1	0
Jac_mim	"Jacaranda mimosifolia"	Exotic	Perennial	Tree	Bignoniaceae	1	1	0
Lob_con	"Lobelia concolor"	Native	Perennial	Herb	Oleaceae	1	1	0
Lom_con	"Lomandra confertifolia"	Exotic	Perennial	Tree	Oleaceae	1	1	0
Mic_sti	"Microlaena stipoides"	Exotic	Perennial	Herb	Lamiaceae	1	1	0
Pas_dia	"Paspalum dilatatum"	Exotic	Perennial	Grass	Cyperaceae	1	1	0
Pol_cal	"Polymeria calycina"	Exotic	Perennial	Vine	Passifloraceae	1	1	0
Rhy_min	"Rhynchosia minima"	Native	Perennial	Tree	Rubiaceae	1	1	0
Scl_mac	"Scleria mackaviensis"	Native	Perennial	Sedge/Rush	Cyperaceae	1	1	0
Sid_corr	"Sida corrugata"	Native	Perennial	Herb	Malvaceae	1	1	0
Sid_hac	"Sida hackettiana"	Exotic	Perennial	Herb	Malvaceae	1	1	0
Smi_aus	"Smilax australis"	Native	Perennial	Herb	Malvaceae	1	1	0
Tag_min	"Tagetes minuta"	Native	Perennial	Grass	Poaceae	1	1	0
The_tri	"Themeda triandra"	Native	Perennial	Herb	Menispermaceae	1	1	0
Vio_hed	"Viola hederacea"	NA	NA	Herb	NA	0	1	0
Vit_pus	"Vittadinia pustulata"	Exotic	Perennial	Grass	Poaceae	1	1	0
